# Residuals    
# Time         	p              	sigmaxx        	sigmaxy        	sigmayy        	sigmazz        
0.21           	1.76899630e-01	2.07083530e-02	1.60756920e-02	2.49921070e-02	0.00000000e+00
0.215          	1.77437020e-01	2.02884310e-02	1.57438540e-02	2.26017530e-02	0.00000000e+00
0.22           	1.90061940e-01	1.98873780e-02	1.54278140e-02	2.04199360e-02	0.00000000e+00
0.225          	1.32712110e-01	1.95039450e-02	1.51264800e-02	2.22669940e-02	0.00000000e+00
0.23           	1.25279860e-01	1.91369940e-02	1.48388580e-02	1.80252710e-02	0.00000000e+00
0.235          	3.04498400e-01	1.87854800e-02	1.45640410e-02	2.42685920e-02	0.00000000e+00
0.24           	1.73973810e-01	1.84475160e-02	1.43012010e-02	1.29562080e-02	0.00000000e+00
0.245          	1.31370920e-01	1.81205130e-02	1.40480290e-02	1.63843190e-02	0.00000000e+00
0.25           	1.64423500e-01	1.78064760e-02	1.38051330e-02	1.80267100e-02	0.00000000e+00
0.255          	1.63012670e-01	1.75046480e-02	1.35721980e-02	1.09888920e-02	0.00000000e+00
0.26           	1.23487530e-01	1.72143310e-02	1.33486290e-02	1.78025610e-02	0.00000000e+00
0.265          	1.40630470e-01	1.69348760e-02	1.31338770e-02	1.24421950e-02	0.00000000e+00
0.27           	2.87696330e-01	1.66653780e-02	1.29274950e-02	1.17075510e-02	0.00000000e+00
0.275          	1.41922360e-01	1.64028040e-02	1.27297590e-02	1.52052200e-02	0.00000000e+00
0.28           	4.64723980e-01	1.61495620e-02	1.25378230e-02	1.76973460e-02	0.00000000e+00
0.285          	1.77230700e-01	1.59051610e-02	1.23528740e-02	1.40130010e-02	0.00000000e+00
0.29           	4.48004840e-01	1.56691490e-02	1.21746060e-02	1.27530710e-02	0.00000000e+00
0.295          	5.39005060e-01	1.54411010e-02	1.20026670e-02	1.21396690e-02	0.00000000e+00
0.3            	3.20718100e-01	1.52206210e-02	1.18367290e-02	1.57048090e-02	0.00000000e+00
0.305          	5.79636750e-01	1.50073410e-02	1.16764890e-02	1.36698660e-02	0.00000000e+00
0.31           	3.35307300e-01	1.48009140e-02	1.15216620e-02	1.33543230e-02	0.00000000e+00
0.315          	3.45247680e-01	1.46010160e-02	1.13719800e-02	1.37261830e-02	0.00000000e+00
0.32           	1.94655770e-01	1.44073430e-02	1.12271960e-02	1.23602020e-02	0.00000000e+00
0.325          	5.65322560e-01	1.42196090e-02	1.10870750e-02	1.60387540e-02	0.00000000e+00
0.33           	3.59427670e-01	1.40375480e-02	1.09513990e-02	1.18131210e-02	0.00000000e+00
0.335          	1.36726290e-01	1.38591630e-02	1.08199620e-02	1.62786040e-02	0.00000000e+00
0.34           	2.18509540e-01	1.36857330e-02	1.06925710e-02	1.27305990e-02	0.00000000e+00
0.345          	1.20415730e-01	1.35173310e-02	1.05690440e-02	1.70818230e-02	0.00000000e+00
0.35           	1.87450890e-01	1.33537460e-02	1.04487070e-02	1.27688480e-02	0.00000000e+00
0.355          	3.91452970e-01	1.31947780e-02	1.03313660e-02	1.39256540e-02	0.00000000e+00
0.36           	1.31470530e-01	1.30402320e-02	1.02174390e-02	1.07098500e-02	0.00000000e+00
0.365          	4.33566750e-01	1.28891540e-02	1.01070760e-02	1.06599520e-02	0.00000000e+00
0.37           	1.64023740e-01	1.27411390e-02	1.00002670e-02	1.45686540e-02	0.00000000e+00
0.375          	1.15117600e-01	1.25970920e-02	9.89644920e-03	1.25307490e-02	0.00000000e+00
0.38           	2.69516680e-01	1.24568570e-02	9.79550180e-03	1.47850080e-02	0.00000000e+00
0.385          	3.32496840e-01	1.23202860e-02	9.69671070e-03	1.02923940e-02	0.00000000e+00
0.39           	6.23193560e-01	1.21872400e-02	9.60021780e-03	1.27609140e-02	0.00000000e+00
0.395          	1.46951770e-01	1.20575850e-02	9.50629570e-03	1.26266250e-02	0.00000000e+00
0.4            	1.33970230e-01	1.19311960e-02	9.41484490e-03	1.21677730e-02	0.00000000e+00
0.405          	2.82748420e-01	1.18079510e-02	9.32577090e-03	1.05972110e-02	0.00000000e+00
0.41           	1.12227370e-01	1.16877360e-02	9.23898390e-03	1.34933270e-02	0.00000000e+00
0.415          	4.59608750e-01	1.15704430e-02	9.15439840e-03	1.02603230e-02	0.00000000e+00
0.42           	1.50157280e-01	1.14559680e-02	9.07193320e-03	9.87716090e-03	0.00000000e+00
0.425          	3.29188240e-01	1.13442120e-02	8.99151100e-03	1.13611150e-02	0.00000000e+00
0.43           	1.27680150e-01	1.12350800e-02	8.91305800e-03	1.12840580e-02	0.00000000e+00
0.435          	1.81199130e-01	1.11284830e-02	8.83650400e-03	1.01525870e-02	0.00000000e+00
0.44           	1.94145520e-01	1.10243370e-02	8.76178200e-03	1.26897290e-02	0.00000000e+00
0.445          	1.31904560e-01	1.09225650e-02	8.68882800e-03	9.28190440e-03	0.00000000e+00
0.45           	1.28258650e-01	1.08227750e-02	8.61758110e-03	1.05525070e-02	0.00000000e+00
0.455          	1.89532580e-01	1.07243130e-02	8.54798290e-03	1.11314440e-02	0.00000000e+00
0.46           	2.21199410e-01	1.06280240e-02	8.47997760e-03	7.25702560e-03	0.00000000e+00
0.465          	1.60906900e-01	1.05338400e-02	8.41351200e-03	9.49961900e-03	0.00000000e+00
0.47           	1.50943600e-01	1.04416940e-02	8.34853520e-03	1.01313410e-02	0.00000000e+00
0.475          	1.94640930e-01	1.03515210e-02	8.28499820e-03	1.02345100e-02	0.00000000e+00
0.48           	2.77594280e-01	1.02632600e-02	8.22285430e-03	7.09838620e-03	0.00000000e+00
0.485          	1.56932010e-01	1.01761790e-02	8.16205880e-03	9.95126700e-03	0.00000000e+00
0.49           	1.94650970e-01	1.00904850e-02	8.10242370e-03	9.30675030e-03	0.00000000e+00
0.495          	1.73242970e-01	1.00065620e-02	8.04357610e-03	9.14334650e-03	0.00000000e+00
0.5            	1.91695640e-01	9.92416700e-03	7.98596770e-03	8.82775590e-03	0.00000000e+00
0.505          	3.51147940e-01	9.84360640e-03	7.92956030e-03	8.66266280e-03	0.00000000e+00
0.51           	2.10766050e-01	9.76471480e-03	7.87431680e-03	8.49239170e-03	0.00000000e+00
0.515          	1.69796400e-01	9.68740780e-03	7.82020200e-03	9.22119670e-03	0.00000000e+00
0.52           	2.97951080e-01	9.61179850e-03	7.76718190e-03	9.35695330e-03	0.00000000e+00
0.525          	1.56878150e-01	9.53752620e-03	7.71539210e-03	8.31059700e-03	0.00000000e+00
0.53           	1.72039810e-01	9.46464180e-03	7.66442130e-03	8.46477550e-03	0.00000000e+00
0.535          	2.57759620e-01	9.39313880e-03	7.61448350e-03	8.42957580e-03	0.00000000e+00
0.54           	4.59771480e-01	9.32299240e-03	7.56553160e-03	8.13627430e-03	0.00000000e+00
0.545          	1.49278830e-01	9.25401900e-03	7.51753170e-03	4.96012890e-03	0.00000000e+00
0.55           	6.57065470e-01	9.18646660e-03	7.47045460e-03	8.77852730e-03	0.00000000e+00
0.555          	2.87395920e-01	9.12020980e-03	7.42427360e-03	7.46026810e-03	0.00000000e+00
0.56           	1.50313510e-01	9.05518590e-03	7.37896340e-03	5.92304410e-03	0.00000000e+00
0.565          	2.22988100e-01	8.99135310e-03	7.33449950e-03	7.08393660e-03	0.00000000e+00
0.57           	9.58546540e-01	8.92867720e-03	7.29085850e-03	6.77516120e-03	0.00000000e+00
0.575          	6.27673000e-01	8.86726060e-03	7.24803840e-03	6.16802440e-03	0.00000000e+00
0.58           	1.73069990e-01	8.80683090e-03	7.20597460e-03	9.70763520e-03	0.00000000e+00
0.585          	1.43150840e-01	8.74743510e-03	7.16466130e-03	1.20677170e-02	0.00000000e+00
0.59           	1.78431170e-01	8.68907010e-03	7.12408300e-03	1.02608310e-02	0.00000000e+00
0.595          	2.88945050e-01	8.63171770e-03	7.08422180e-03	8.35144450e-03	0.00000000e+00
0.6            	7.21907260e-01	8.57487000e-03	7.04505920e-03	8.14833060e-03	0.00000000e+00
0.605          	1.67052380e-01	8.51862730e-03	7.00657690e-03	9.35325850e-03	0.00000000e+00
0.61           	2.09670780e-01	8.46343920e-03	6.96875720e-03	9.39279000e-03	0.00000000e+00
0.615          	1.29064310e-01	8.40921550e-03	6.93158310e-03	8.79241450e-03	0.00000000e+00
0.62           	1.20266530e-01	8.35591220e-03	6.89503770e-03	1.04948050e-02	0.00000000e+00
0.625          	1.20546250e-01	8.30349630e-03	6.85908600e-03	1.15001390e-02	0.00000000e+00
0.63           	5.66904310e-01	8.25194780e-03	6.82375060e-03	7.76892030e-03	0.00000000e+00
0.635          	2.21546630e-01	8.20066850e-03	6.78900320e-03	4.67000280e-03	0.00000000e+00
0.64           	1.79980310e-01	8.15020890e-03	6.75482500e-03	1.02178610e-02	0.00000000e+00
0.645          	1.02739810e-01	8.10048630e-03	6.72120050e-03	1.01153090e-02	0.00000000e+00
0.65           	2.48065260e-01	8.05153960e-03	6.68823490e-03	4.58722520e-03	0.00000000e+00
0.655          	2.88478570e-01	8.00336900e-03	6.65589120e-03	6.86943020e-03	0.00000000e+00
0.66           	3.71670440e-01	7.95596270e-03	6.62405830e-03	6.79497640e-03	0.00000000e+00
0.665          	1.28701720e-01	7.90930540e-03	6.59272390e-03	8.24880240e-03	0.00000000e+00
0.67           	1.86469130e-01	7.86319250e-03	6.56187580e-03	8.37909120e-03	0.00000000e+00
0.675          	1.51576300e-01	7.81795400e-03	6.53136300e-03	6.45314680e-03	0.00000000e+00
0.68           	3.26747600e-01	7.77356560e-03	6.50111610e-03	7.11759400e-03	0.00000000e+00
0.685          	2.79638790e-01	7.72979690e-03	6.47129040e-03	6.89524960e-03	0.00000000e+00
0.69           	1.78699530e-01	7.68667610e-03	6.44190020e-03	7.81880910e-03	0.00000000e+00
0.695          	5.57693760e-01	7.64420260e-03	6.41294340e-03	6.08522620e-03	0.00000000e+00
0.7            	1.87205970e-01	7.60244270e-03	6.38441240e-03	5.60755780e-03	0.00000000e+00
0.705          	1.56420900e-01	7.56124490e-03	6.35629830e-03	4.50717300e-03	0.00000000e+00
0.71           	1.86789740e-01	7.52063970e-03	6.32856220e-03	6.65800780e-03	0.00000000e+00
0.715          	6.90234170e-01	7.48062840e-03	6.30088750e-03	5.58574170e-03	0.00000000e+00
0.72           	1.91083010e-01	7.44120300e-03	6.27360770e-03	5.64563430e-03	0.00000000e+00
0.725          	2.82160120e-01	7.40235280e-03	6.24671380e-03	5.99646380e-03	0.00000000e+00
0.73           	1.89303700e-01	7.36391760e-03	6.22019710e-03	8.53362150e-03	0.00000000e+00
0.735          	1.44913710e-01	7.32623720e-03	6.19404900e-03	6.38768630e-03	0.00000000e+00
0.74           	3.11277230e-01	7.28907100e-03	6.16826130e-03	6.69158020e-03	0.00000000e+00
0.745          	3.65734320e-01	7.25242330e-03	6.14278400e-03	4.80261130e-03	0.00000000e+00
0.75           	2.43613760e-01	7.21629080e-03	6.11768290e-03	6.82957060e-03	0.00000000e+00
0.755          	2.95196540e-01	7.18066530e-03	6.09292900e-03	7.24844290e-03	0.00000000e+00
0.76           	1.85203440e-01	7.14553730e-03	6.06850790e-03	6.35823460e-03	0.00000000e+00
0.765          	5.74868940e-01	7.11089700e-03	6.04440990e-03	4.75201990e-03	0.00000000e+00
0.77           	1.35231440e-01	7.07673500e-03	6.02062730e-03	4.23312370e-03	0.00000000e+00
0.775          	7.71420360e-01	7.04304180e-03	5.99715290e-03	6.74085410e-03	0.00000000e+00
0.78           	1.85800890e-01	7.00969230e-03	5.97398000e-03	6.20832100e-03	0.00000000e+00
0.785          	2.00377850e-01	6.97642840e-03	5.95110200e-03	6.90545150e-03	0.00000000e+00
0.79           	1.90660300e-01	6.94354990e-03	5.92851250e-03	6.70422910e-03	0.00000000e+00
0.795          	5.07966650e-01	6.91116390e-03	5.90620540e-03	7.12375390e-03	0.00000000e+00
0.8            	1.73415900e-01	6.87922650e-03	5.88417470e-03	5.63594360e-03	0.00000000e+00
0.805          	4.26617240e-01	6.84771770e-03	5.86241440e-03	4.67198820e-03	0.00000000e+00
0.81           	2.54762100e-01	6.81662680e-03	5.84095560e-03	4.02388590e-03	0.00000000e+00
0.815          	1.44146800e-01	6.78583770e-03	5.81964370e-03	4.36310980e-03	0.00000000e+00
0.82           	3.05438510e-01	6.75509580e-03	5.79863940e-03	6.50650950e-03	0.00000000e+00
0.825          	6.34909410e-01	6.72475250e-03	5.77790110e-03	6.48738610e-03	0.00000000e+00
0.83           	3.52621670e-01	6.69480050e-03	5.75741190e-03	4.83056360e-03	0.00000000e+00
0.835          	1.82026070e-01	6.66523270e-03	5.73716270e-03	4.09410500e-03	0.00000000e+00
0.84           	3.44933120e-01	6.63604180e-03	5.71714720e-03	4.34807760e-03	0.00000000e+00
0.845          	2.10694290e-01	6.60722090e-03	5.69736030e-03	6.23224740e-03	0.00000000e+00
0.85           	2.62083310e-01	6.57876330e-03	5.67779700e-03	5.58794220e-03	0.00000000e+00
0.855          	1.16726510e-01	6.55066220e-03	5.65845270e-03	5.09232020e-03	0.00000000e+00
0.86           	1.14847300e-01	6.52285100e-03	5.63932300e-03	6.38821400e-03	0.00000000e+00
0.865          	1.61101770e-01	6.49543150e-03	5.62040330e-03	5.04126110e-03	0.00000000e+00
0.87           	3.37277740e-01	6.46836480e-03	5.60168960e-03	6.00989470e-03	0.00000000e+00
0.875          	1.98923070e-01	6.44163410e-03	5.58317750e-03	4.49260370e-03	0.00000000e+00
0.88           	3.99692490e-01	6.41523090e-03	5.56490560e-03	4.06311420e-03	0.00000000e+00
0.885          	3.30173790e-01	6.38914790e-03	5.54679640e-03	4.90626450e-03	0.00000000e+00
0.89           	5.14495440e-01	6.36337860e-03	5.52886660e-03	5.41389170e-03	0.00000000e+00
0.895          	3.65973600e-01	6.33791730e-03	5.51115040e-03	4.84021810e-03	0.00000000e+00
0.9            	3.50526010e-01	6.31275910e-03	5.49359250e-03	4.59431690e-03	0.00000000e+00
0.905          	1.53113370e-01	6.28789790e-03	5.47620540e-03	5.37561010e-03	0.00000000e+00
0.91           	3.64546180e-01	6.26332840e-03	5.45899080e-03	5.58701320e-03	0.00000000e+00
0.915          	1.59032450e-01	6.23904530e-03	5.44175760e-03	5.33273430e-03	0.00000000e+00
0.92           	1.68057090e-01	6.21504370e-03	5.42463450e-03	3.92969690e-03	0.00000000e+00
0.925          	1.36314710e-01	6.19131650e-03	5.40755860e-03	4.03590360e-03	0.00000000e+00
0.93           	2.03116040e-01	6.16785960e-03	5.39073430e-03	5.98171600e-03	0.00000000e+00
0.935          	1.49116580e-01	6.14471730e-03	5.37410000e-03	4.70832710e-03	0.00000000e+00
0.94           	1.46663630e-01	6.12183820e-03	5.35763350e-03	5.43396620e-03	0.00000000e+00
0.945          	1.67336380e-01	6.09917430e-03	5.34132510e-03	4.60291740e-03	0.00000000e+00
0.95           	3.02281400e-01	6.07675040e-03	5.32515230e-03	4.10015480e-03	0.00000000e+00
0.955          	2.84940480e-01	6.05443610e-03	5.30890730e-03	5.15784520e-03	0.00000000e+00
0.96           	1.78943370e-01	6.03247310e-03	5.29281130e-03	4.35916680e-03	0.00000000e+00
0.965          	1.32464710e-01	6.01078640e-03	5.27690980e-03	4.69898560e-03	0.00000000e+00
0.97           	1.84952230e-01	5.98934830e-03	5.26111720e-03	3.86318170e-03	0.00000000e+00
0.975          	2.70734730e-01	5.96814660e-03	5.24545350e-03	4.93402200e-03	0.00000000e+00
0.98           	1.82322780e-01	5.94717480e-03	5.22995920e-03	4.16236770e-03	0.00000000e+00
0.985          	7.17855000e-01	5.92642880e-03	5.21457350e-03	3.65158740e-03	0.00000000e+00
0.99           	1.45537710e-01	5.90590400e-03	5.19931160e-03	4.58937120e-03	0.00000000e+00
0.995          	4.25931800e-01	5.88564520e-03	5.18417690e-03	4.19613560e-03	0.00000000e+00
1              	1.03978280e-01	5.86554490e-03	5.16916870e-03	4.44463290e-03	0.00000000e+00
1.005          	8.37638020e-02	5.84533580e-03	5.15431070e-03	3.70028610e-03	0.00000000e+00
1.01           	1.69064810e-01	5.82533350e-03	5.13955720e-03	5.65467680e-03	0.00000000e+00
1.015          	1.29313560e-01	5.80557390e-03	5.12491810e-03	4.52066260e-03	0.00000000e+00
1.02           	1.55332420e-01	5.78601840e-03	5.11039510e-03	5.28371430e-03	0.00000000e+00
1.025          	3.20135820e-01	5.76662960e-03	5.09598740e-03	4.40349030e-03	0.00000000e+00
1.03           	1.64027080e-01	5.74742700e-03	5.08169330e-03	4.39632970e-03	0.00000000e+00
1.035          	1.76548660e-01	5.72841470e-03	5.06751070e-03	4.34773470e-03	0.00000000e+00
1.04           	6.87796520e-01	5.70934920e-03	5.05343750e-03	4.90495160e-03	0.00000000e+00
1.045          	3.52827870e-01	5.69040700e-03	5.03947190e-03	4.81699610e-03	0.00000000e+00
1.05           	3.89336360e-01	5.67165260e-03	5.02561160e-03	3.65877720e-03	0.00000000e+00
1.055          	1.67792830e-01	5.65308230e-03	5.01176040e-03	5.15032010e-03	0.00000000e+00
1.06           	2.00544730e-01	5.63469290e-03	4.99807770e-03	3.36313230e-03	0.00000000e+00
1.065          	1.34216650e-01	5.61648220e-03	4.98451690e-03	3.55478910e-03	0.00000000e+00
1.07           	2.92845410e-01	5.59844830e-03	4.97110080e-03	5.01219190e-03	0.00000000e+00
1.075          	1.57163360e-01	5.58058780e-03	4.95775500e-03	4.61483800e-03	0.00000000e+00
1.08           	2.71595660e-01	5.56291880e-03	4.94449490e-03	4.11277200e-03	0.00000000e+00
1.085          	1.09635300e-01	5.54528730e-03	4.93132420e-03	4.60202290e-03	0.00000000e+00
1.09           	2.06794930e-01	5.52790410e-03	4.91824310e-03	3.42459190e-03	0.00000000e+00
1.095          	4.98170120e-01	5.51071050e-03	4.90527900e-03	3.47800140e-03	0.00000000e+00
1.1            	5.14582890e-01	5.49368530e-03	4.89238190e-03	4.21571230e-03	0.00000000e+00
1.105          	2.13918350e-01	5.47681980e-03	4.87956360e-03	3.23973300e-03	0.00000000e+00
1.11           	1.34354800e-01	5.46017240e-03	4.86682700e-03	5.30445910e-03	0.00000000e+00
1.115          	1.92500890e-01	5.44362800e-03	4.85417200e-03	2.99993720e-03	0.00000000e+00
1.12           	1.59478170e-01	5.42721680e-03	4.84159770e-03	3.48075420e-03	0.00000000e+00
1.125          	4.73377700e-01	5.41094720e-03	4.82910270e-03	3.32448090e-03	0.00000000e+00
1.13           	2.02514220e-01	5.39482040e-03	4.81668550e-03	2.64961630e-03	0.00000000e+00
1.135          	4.12985230e-01	5.37883510e-03	4.80434480e-03	3.00758900e-03	0.00000000e+00
1.14           	6.17566000e-01	5.36298960e-03	4.79207900e-03	3.88576320e-03	0.00000000e+00
1.145          	2.18935560e-01	5.34730250e-03	4.77988690e-03	2.85343600e-03	0.00000000e+00
1.15           	1.79118670e-01	5.33173350e-03	4.76766170e-03	3.51517630e-03	0.00000000e+00
1.155          	5.94943330e-01	5.31629160e-03	4.75558130e-03	3.33283460e-03	0.00000000e+00
1.16           	4.57129840e-01	5.30097870e-03	4.74359500e-03	2.95295170e-03	0.00000000e+00
1.165          	2.80820010e-01	5.28579480e-03	4.73172920e-03	3.10822960e-03	0.00000000e+00
1.17           	1.37512480e-01	5.27073790e-03	4.71990230e-03	3.93054760e-03	0.00000000e+00
1.175          	1.91927030e-01	5.25580610e-03	4.70813170e-03	3.56926650e-03	0.00000000e+00
1.18           	1.33693910e-01	5.24099710e-03	4.69642260e-03	3.76866150e-03	0.00000000e+00
1.185          	2.15083180e-01	5.22630910e-03	4.68477570e-03	2.79788750e-03	0.00000000e+00
1.19           	1.52249530e-01	5.21175530e-03	4.67319050e-03	2.72005320e-03	0.00000000e+00
1.195          	1.39373790e-01	5.19730690e-03	4.66169760e-03	3.16994250e-03	0.00000000e+00
1.2            	4.87290520e-01	5.18297000e-03	4.65024240e-03	3.61584450e-03	0.00000000e+00
1.205          	1.43796920e-01	5.16874510e-03	4.63883860e-03	2.80309600e-03	0.00000000e+00
1.21           	9.86123880e-02	5.15463130e-03	4.62748990e-03	3.23713020e-03	0.00000000e+00
1.215          	2.25351300e-01	5.14062700e-03	4.61613050e-03	2.91412000e-03	0.00000000e+00
1.22           	2.09539260e-01	5.12673050e-03	4.60472690e-03	3.82817200e-03	0.00000000e+00
1.225          	4.34951360e-01	5.11273460e-03	4.59337920e-03	3.86626030e-03	0.00000000e+00
1.23           	1.85068400e-01	5.09899830e-03	4.58208650e-03	3.93942740e-03	0.00000000e+00
1.235          	2.85744200e-01	5.08541550e-03	4.57084760e-03	4.16481490e-03	0.00000000e+00
1.24           	1.21017540e-01	5.07195000e-03	4.55966170e-03	3.90881070e-03	0.00000000e+00
1.245          	1.20288090e-01	5.05858880e-03	4.54852770e-03	4.48313210e-03	0.00000000e+00
1.25           	1.01283520e-01	5.04537650e-03	4.53737880e-03	4.47168620e-03	0.00000000e+00
1.255          	1.32433130e-01	5.03222270e-03	4.52627950e-03	5.03531840e-03	0.00000000e+00
1.26           	1.76578280e-01	5.01915070e-03	4.51513070e-03	4.39748620e-03	0.00000000e+00
1.265          	1.42289350e-01	5.00629210e-03	4.50403680e-03	3.73083710e-03	0.00000000e+00
1.27           	2.10143280e-01	4.99327610e-03	4.49299330e-03	4.87892220e-03	0.00000000e+00
1.275          	2.09506980e-01	4.98025080e-03	4.48199830e-03	4.88767760e-03	0.00000000e+00
1.28           	1.59271650e-01	4.96730590e-03	4.47105060e-03	4.11196670e-03	0.00000000e+00
1.285          	3.90462260e-01	4.95444670e-03	4.46014900e-03	3.64586320e-03	0.00000000e+00
1.29           	2.03844720e-01	4.94167430e-03	4.44929280e-03	3.69039330e-03	0.00000000e+00
1.295          	1.64019460e-01	4.92898820e-03	4.43851570e-03	4.77569540e-03	0.00000000e+00
1.3            	2.04072700e-01	4.91639840e-03	4.42775820e-03	4.54018720e-03	0.00000000e+00
1.305          	1.30339490e-01	4.90387270e-03	4.41703560e-03	4.00940630e-03	0.00000000e+00
1.31           	1.83545980e-01	4.89122400e-03	4.40635240e-03	4.33491480e-03	0.00000000e+00
1.315          	1.29326530e-01	4.87865730e-03	4.39570960e-03	4.08205310e-03	0.00000000e+00
1.32           	2.99495020e-01	4.86617190e-03	4.38510710e-03	4.54264590e-03	0.00000000e+00
1.325          	1.65693230e-01	4.85376660e-03	4.37454420e-03	5.39003460e-03	0.00000000e+00
1.33           	4.60195250e-01	4.84122600e-03	4.36402040e-03	4.49238690e-03	0.00000000e+00
1.335          	2.32925190e-01	4.82892160e-03	4.35346050e-03	4.70126110e-03	0.00000000e+00
1.34           	1.26213620e-01	4.81674580e-03	4.34298970e-03	5.77063920e-03	0.00000000e+00
1.345          	1.49314410e-01	4.80466200e-03	4.33257300e-03	4.35434980e-03	0.00000000e+00
1.35           	2.59917940e-01	4.79265730e-03	4.32219820e-03	4.84278720e-03	0.00000000e+00
1.355          	1.38648150e-01	4.78072670e-03	4.31186090e-03	3.46376410e-03	0.00000000e+00
1.36           	1.33928530e-01	4.76886770e-03	4.30155920e-03	4.35457960e-03	0.00000000e+00
1.365          	1.56711760e-01	4.75713030e-03	4.29129200e-03	4.08105930e-03	0.00000000e+00
1.37           	8.54719880e-02	4.74542430e-03	4.28105860e-03	4.22562410e-03	0.00000000e+00
1.375          	2.01863940e-01	4.73377340e-03	4.27085810e-03	5.00295910e-03	0.00000000e+00
1.38           	1.63173900e-01	4.72218510e-03	4.26069010e-03	4.08915070e-03	0.00000000e+00
1.385          	2.14772870e-01	4.71066070e-03	4.25055390e-03	4.16671400e-03	0.00000000e+00
1.39           	1.57155850e-01	4.69920030e-03	4.24044890e-03	4.49587600e-03	0.00000000e+00
